"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"742","Rajasthan Nursing Recruitment 2018, Rajswasthya Staff Nurse Grade-II Jobs Apply Online, 11071 ANM GNMPosts  ","2018-07-28 13:12:24","FALSE","0","0","0","Health Care","Rajasthan","India",TRUE
"743","DFCCIL Various Post Online Form 2018
JSSC Staff Nurse, Other Post Online Form 2018
UPSSSC Tubewell Operator 2016 Re  ","2018-07-28 13:09:36","FALSE","0","0","-2","Health Care","Rajasthan","India",TRUE
"744"," ","2018-07-26 15:15:06","FALSE","0","1","1","Health Care","Rajasthan","India",TRUE
"745"," ","2018-07-26 15:14:55","FALSE","0","1","1","Health Care","Rajasthan","India",TRUE
"746","The hard work of the Nurse mentors in developing the skills of Aley Kutty, the LHV delegated by the Govt of Rajasth  ","2018-07-25 19:27:06","FALSE","0","2","2","Health Care","Rajasthan","India",TRUE
"747","RT @theantarafndn: Our nurse mentoring staff work tirelessly to ensure that labour rooms are best prepared to handle deliveries. Here's a l","2018-07-25 11:13:37","TRUE","1","0","0","Health Care","Rajasthan","India",TRUE
"748","Our nurse mentoring staff work tirelessly to ensure that labour rooms are best prepared to handle deliveries. Here'  ","2018-07-25 10:08:00","FALSE","1","2","1","Health Care","Rajasthan","India",TRUE
"749","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-24 01:28:12","TRUE","14","0","0","Health Care","Rajasthan","India",TRUE
"750","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-21 06:38:29","TRUE","14","0","2","Health Care","Rajasthan","India",TRUE
"751","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-20 17:39:40","TRUE","14","0","0","Health Care","Rajasthan","India",TRUE
"752","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-20 09:39:05","TRUE","14","0","1","Health Care","Rajasthan","India",TRUE
"753","RT @NewIndianXpress: Kajri, abandoned at birth by her biological mother, had a different fate for herself. Influenced by the culture of Ind","2018-07-20 01:41:24","TRUE","2","0","0","Health Care","Rajasthan","India",TRUE
"754","RT @NewIndianXpress: Kajri, abandoned at birth by her biological mother, had a different fate for herself. Influenced by the culture of Ind","2018-07-20 01:31:41","TRUE","2","0","0","Health Care","Rajasthan","India",TRUE
"755","Kajri, abandoned at birth by her biological mother, had a different fate for herself. Influenced by the culture of  ","2018-07-20 01:30:14","FALSE","2","7","0","Health Care","Rajasthan","India",TRUE
"756","RT @Moushette: Swedish nurse adopts one-year-old girl abandoned at railway tracks in Rajasthan  ","2018-07-19 22:15:32","TRUE","1","0","1","Health Care","Rajasthan","India",TRUE
"757","Swedish nurse adopts one-year-old girl abandoned at railway tracks in Rajasthan  ","2018-07-19 22:14:06","FALSE","1","1","0","Health Care","Rajasthan","India",TRUE
"758","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-19 20:57:21","TRUE","14","0","0","Health Care","Rajasthan","India",TRUE
"759","Swedish nurse adopts one-year-old girl abandoned at railway tracks in Rajasthan  ","2018-07-19 17:24:03","FALSE","0","0","1","Health Care","Rajasthan","India",TRUE
"760","Swedish nurse adopts one-year-old girl abandoned at railway tracks in Rajasthan - The New Indian Express  ","2018-07-19 17:12:04","FALSE","0","0","0","Health Care","Rajasthan","India",TRUE
"761","RT @mso_mp: Central Railway Bhusawal Jobs 2018-19 
Apply For 12 Staff Nurse Posts 
MSO 

 ","2018-07-28 20:15:23","TRUE","10","0","0","Health Care","Rajasthan","India",TRUE
"762","Rajasthan Nursing Recruitment 2018, Rajswasthya Staff Nurse Grade-II Jobs Apply Online, 11071 ANM GNMPosts  ","2018-07-28 13:12:24","FALSE","0","0","1","Health Care","Rajasthan","India",TRUE
"763","DFCCIL Various Post Online Form 2018
JSSC Staff Nurse, Other Post Online Form 2018
UPSSSC Tubewell Operator 2016 Re  ","2018-07-28 13:09:36","FALSE","0","0","0","Health Care","Rajasthan","India",TRUE
"764"," ","2018-07-26 15:15:06","FALSE","0","1","1","Health Care","Rajasthan","India",TRUE
"765"," ","2018-07-26 15:14:55","FALSE","0","1","0","Health Care","Rajasthan","India",TRUE
"766","The hard work of the Nurse mentors in developing the skills of Aley Kutty, the LHV delegated by the Govt of Rajasth  ","2018-07-25 19:27:06","FALSE","0","2","0","Health Care","Rajasthan","India",TRUE
"767","RT @theantarafndn: Our nurse mentoring staff work tirelessly to ensure that labour rooms are best prepared to handle deliveries. Here's a l","2018-07-25 11:13:37","TRUE","1","0","0","Health Care","Rajasthan","India",TRUE
"768","Our nurse mentoring staff work tirelessly to ensure that labour rooms are best prepared to handle deliveries. Here'  ","2018-07-25 10:08:00","FALSE","1","2","1","Health Care","Rajasthan","India",TRUE
"769","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-24 01:28:12","TRUE","14","0","1","Health Care","Rajasthan","India",TRUE
"770","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-21 06:38:29","TRUE","14","0","0","Health Care","Rajasthan","India",TRUE
"771","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-20 17:39:40","TRUE","14","0","0","Health Care","Rajasthan","India",TRUE
"772","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-20 09:39:05","TRUE","14","0","0","Health Care","Rajasthan","India",TRUE
"773","RT @NewIndianXpress: Kajri, abandoned at birth by her biological mother, had a different fate for herself. Influenced by the culture of Ind","2018-07-20 01:41:24","TRUE","2","0","0","Health Care","Rajasthan","India",TRUE
"774","RT @NewIndianXpress: Kajri, abandoned at birth by her biological mother, had a different fate for herself. Influenced by the culture of Ind","2018-07-20 01:31:41","TRUE","2","0","0","Health Care","Rajasthan","India",TRUE
"775","Kajri, abandoned at birth by her biological mother, had a different fate for herself. Influenced by the culture of  ","2018-07-20 01:30:14","FALSE","2","7","1","Health Care","Rajasthan","India",TRUE
"776","RT @Moushette: Swedish nurse adopts one-year-old girl abandoned at railway tracks in Rajasthan  ","2018-07-19 22:15:32","TRUE","1","0","0","Health Care","Rajasthan","India",TRUE
"777","Swedish nurse adopts one-year-old girl abandoned at railway tracks in Rajasthan  ","2018-07-19 22:14:06","FALSE","1","1","0","Health Care","Rajasthan","India",TRUE
"778","RT @UNDP_India: Ensuring HealthForAll is a mammoth task in a country with the 's largest birth cohort of 27 million. But 27-year-old Ranj","2018-07-19 20:57:21","TRUE","14","0","0","Health Care","Rajasthan","India",TRUE
"779","Swedish nurse adopts one-year-old girl abandoned at railway tracks in Rajasthan  ","2018-07-19 17:24:03","FALSE","0","0","1","Health Care","Rajasthan","India",TRUE
"780","Swedish nurse adopts one-year-old girl abandoned at railway tracks in Rajasthan - The New Indian Express  ","2018-07-19 17:12:04","FALSE","0","0","0","Health Care","Rajasthan","India",TRUE
"781","RT @mso_mp: Central Railway Bhusawal Jobs 2018-19 
Apply For 12 Staff Nurse Posts 
MSO 

 ","2018-07-28 20:15:23","TRUE","10","0","0","Health Care","Rajasthan","India",TRUE
"782","Rajasthan Nursing Recruitment 2018, Rajswasthya Staff Nurse Grade-II Jobs Apply Online, 11071 ANM GNMPosts  ","2018-07-28 13:12:24","FALSE","0","0","-2","Health Care","Rajasthan","India",TRUE
"783","DFCCIL Various Post Online Form 2018
JSSC Staff Nurse, Other Post Online Form 2018
UPSSSC Tubewell Operator 2016 Re  ","2018-07-28 13:09:36","FALSE","0","0","-1","Health Care","Rajasthan","India",TRUE
"784"," ","2018-07-26 15:15:06","FALSE","0","1","-1","Health Care","Rajasthan","India",TRUE
"785"," ","2018-07-26 15:14:55","FALSE","0","1","-1","Health Care","Rajasthan","India",TRUE
"786","The hard work of the Nurse mentors in developing the skills of Aley Kutty, the LHV delegated by the Govt of Rajasth  ","2018-07-25 19:27:06","FALSE","0","2","1","Health Care","Rajasthan","India",TRUE
"787","RT @theantarafndn: Our nurse mentoring staff work tirelessly to ensure that labour rooms are best prepared to handle deliveries. Here's a l","2018-07-25 11:13:37","TRUE","1","0","-1","Health Care","Rajasthan","India",TRUE
"788","Our nurse mentoring staff work tirelessly to ensure that labour rooms are best prepared to handle deliveries. Here'  ","2018-07-25 10:08:00","FALSE","1","2","0","Health Care","Rajasthan","India",TRUE
