"","ttext","date","isretweet","retweetcount","favoritecount","score","product","state","country","duplicate"
"1","RT @yawaraijazkhan: the weather today is calm and sunny awesome Pune Maharashtra","2018-07-28 09:58:15","TRUE","3","0","-1","Climate","Maharashtra","India",FALSE
"2","RT @yawaraijazkhan: the weather today is calm and sunny awesome Pune Maharashtra","2018-07-28 09:52:13","TRUE","3","0","-1","Climate","Maharashtra","India",TRUE
"3","   ;   

      . ,   ","2018-07-28 09:40:43","FALSE","0","3","-1","Climate","Maharashtra","India",FALSE
"4","RT @RanjitVDeshmukh: HIDE AND SEEK: It was a cloudy weather as the moon was visible for a very short period during the Eclipses over N","2018-07-27 20:45:23","TRUE","1","0","0","Climate","Maharashtra","India",FALSE
"5","HIDE AND SEEK: It was a cloudy weather as the moon was visible for a very short period during the Eclipses over  ","2018-07-27 18:49:44","FALSE","1","7","-1","Climate","Maharashtra","India",FALSE
"6","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:21:19","FALSE","0","0","3","Climate","Maharashtra","India",FALSE
"7","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:16:35","FALSE","0","0","1","Climate","Maharashtra","India",TRUE
"8","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:13:09","FALSE","0","0","1","Climate","Maharashtra","India",TRUE
"9","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:11:59","FALSE","0","0","0","Climate","Maharashtra","India",TRUE
"10","@ORNL We hv been removing nails pierced in d trees,removed 30k nails in 
Pls let us know scientifically weather i  ","2018-07-27 10:13:42","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"11","      ,        
Delhi NorthIndia heavyrain  ","2018-07-26 05:54:22","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"12","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 11:16:29","TRUE","4","0","-2","Climate","Maharashtra","India",FALSE
"13","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 10:52:15","TRUE","4","0","1","Climate","Maharashtra","India",TRUE
"14","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 09:33:36","TRUE","4","0","0","Climate","Maharashtra","India",TRUE
"15","Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 09:30:18","FALSE","4","9","1","Climate","Maharashtra","India",FALSE
"16","RT @gsgolani: Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?Looking at the maladministration in MJP Decisio","2018-07-25 06:25:17","TRUE","1","0","1","Climate","Maharashtra","India",FALSE
"17","@TawdeVinod Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?
Looking at the maladmini  ","2018-07-24 19:25:02","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"18","Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?Looking at the maladministration in M  ","2018-07-24 19:08:18","FALSE","1","1","1","Climate","Maharashtra","India",FALSE
"19","Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?
Looking at the maladministration in  ","2018-07-24 18:57:25","FALSE","1","2","1","Climate","Maharashtra","India",FALSE
"20","Reduced Intensity Rains To Continue Over Maharashtra, Apply Fertilizers In Crops.  ","2018-07-24 14:00:10","FALSE","0","3","0","Climate","Maharashtra","India",FALSE
"21","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 04:48:09","TRUE","54","0","0","Climate","Maharashtra","India",FALSE
"22","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 03:57:55","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"23","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:41:08","TRUE","7","0","0","Climate","Maharashtra","India",FALSE
"24","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:12:44","TRUE","7","0","1","Climate","Maharashtra","India",TRUE
"25","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 03:10:17","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"26","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:05:24","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"27","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 02:57:13","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"28","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 01:30:20","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"29","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 21:06:21","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"30","RT @SkymetWeather: Rains In Nagpur, Wardha, Akola, Buldhana To Continue, Drain Out Excess Water.   ","2018-07-23 18:14:14","TRUE","2","0","1","Climate","Maharashtra","India",FALSE
"31","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 17:35:21","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"32","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-23 17:33:34","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"33","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-23 16:20:56","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"34","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 16:17:50","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"35","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 16:11:18","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"36","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-23 16:03:17","TRUE","7","0","1","Climate","Maharashtra","India",TRUE
"37","RT @SkymetWeather: Rains In Nagpur, Wardha, Akola, Buldhana To Continue, Drain Out Excess Water.   ","2018-07-23 13:07:57","TRUE","2","0","0","Climate","Maharashtra","India",TRUE
"38","Rains In Nagpur, Wardha, Akola, Buldhana To Continue, Drain Out Excess Water.   ","2018-07-23 13:00:04","FALSE","2","7","-2","Climate","Maharashtra","India",FALSE
"39","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 12:13:27","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"40","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 11:51:35","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"41","Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of  ","2018-07-23 10:56:00","FALSE","7","29","0","Climate","Maharashtra","India",FALSE
"42","A strategic location, excellent weather and a steady rate of appreciation make Nashik a desirable city both for en  ","2018-07-23 10:45:12","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"43","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 10:44:49","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"44","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 10:40:12","TRUE","54","0","-1","Climate","Maharashtra","India",TRUE
"45","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 09:03:32","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"46","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 08:40:36","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"47","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 08:34:49","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"48","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 08:13:12","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"49","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 07:22:11","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"50","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 07:12:28","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"51","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 07:07:45","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"52","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 06:55:24","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"53","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 06:32:28","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"54","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 06:31:27","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"55","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 06:28:31","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"56","RT @PIB_India: National Capital gets its first air quality station to monitor PM1 levels.
The station,set up by the System of Air Quality","2018-07-23 06:17:02","TRUE","46","0","1","Climate","Maharashtra","India",FALSE
"57","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 06:16:56","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"58","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 06:00:20","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"59","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:54:03","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"60","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:47:25","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"61","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:43:22","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"62","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:37:05","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"63","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:31:22","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"64","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:25:24","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"65","Maharashtra weather has taken a turn during the past few days resulting in pleasant weather conditions. Coastal M  ","2018-07-23 05:22:36","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"66","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:13:50","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"67","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:13:14","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"68","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 05:10:26","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"69","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:57:34","TRUE","54","0","-2","Climate","Maharashtra","India",TRUE
"70","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:55:50","TRUE","54","0","2","Climate","Maharashtra","India",TRUE
"71","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:49:07","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"72","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:48:19","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"73","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:48:03","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"74","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:41:46","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"75","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:41:04","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"76","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:32:16","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"77","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:31:15","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"78","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:30:23","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"79","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:28:06","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"80","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:22:34","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"81","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:18:48","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"82","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:08:55","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"83","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 04:02:53","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"84","Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently  ","2018-07-23 04:01:11","FALSE","54","166","1","Climate","Maharashtra","India",FALSE
"85","Weather update :23/7/18,

Heavy Rainfall Warning: 
Vidarbha, North Madhya Maharashtra , Northern part of  ","2018-07-22 19:09:08","FALSE","1","1","0","Climate","Maharashtra","India",FALSE
"86","Relics or Weather.. It's bone chilling out here  @ Karnala, Maharashtra, India  ","2018-07-22 18:26:43","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"87","When the weather is amazing.. an outdoor shoot is a fun picnic... nofilter happyfaces selfie clicked by swarda_th  ","2018-07-22 13:50:16","FALSE","1","29","1","Climate","Maharashtra","India",FALSE
"88","          .   ...
Weather climatechange  ","2018-07-22 06:31:22","FALSE","0","2","0","Climate","Maharashtra","India",FALSE
"89","MT:      ","2018-07-22 03:28:24","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"90","Shiva Sena may like to review and carry out its Course-correction. It appears to be heading for political wildernes  ","2018-07-21 16:48:55","FALSE","0","0","1","Climate","Maharashtra","India",FALSE
"91","RT @BhaveshBMT: WEATHER INFO-
HEAVY RAINFALL WARNING
North Madhya Maharashtra

on 23/07/18
Heavy to very heavy rainfall very likely at isol","2018-07-21 13:19:15","TRUE","1","0","0","Climate","Maharashtra","India",FALSE
"92","RT @BhaveshBMT: WEATHER INFO-
HEAVY RAINFALL WARNING 21-7-2018 :
North Madhya Maharashtra
on 21/07/18
Heavy  rainfall very likely at isolat","2018-07-21 13:18:50","TRUE","1","0","1","Climate","Maharashtra","India",FALSE
"93","WEATHER INFO-
HEAVY RAINFALL WARNING
North Madhya Maharashtra

on 23/07/18
Heavy to very heavy rainfall very likely  ","2018-07-21 12:41:33","FALSE","1","1","0","Climate","Maharashtra","India",FALSE
"94","WEATHER INFO-
HEAVY RAINFALL WARNING 21-7-2018 :
North Madhya Maharashtra
on 21/07/18
Heavy  rainfall very likely a  ","2018-07-21 12:40:21","FALSE","1","1","0","Climate","Maharashtra","India",FALSE
"95",".
This weather is so apt. for a long ride with ford in Konkan, Maharashtra with family
and listen to iamcardib I  ","2018-07-21 11:26:25","FALSE","0","2","0","Climate","Maharashtra","India",FALSE
"96","Maharashtra : Places like Gondia, Nagpur, Chandrapur, Gadhchiroli, Wardha, Parbhani, Amravati and Akola are li  ","2018-07-21 10:45:02","FALSE","2","8","0","Climate","Maharashtra","India",FALSE
"97","Let's move to funnfoodvillage with family and friends and enjoy nice cloudy weather at waterpark  ","2018-07-21 07:37:40","FALSE","1","0","0","Climate","Maharashtra","India",FALSE
"98","RT @SkymetWeather: Maharashtra : Monsoon rains over Nagpur, Akola to increase again. MumbaiRains  to remain light.  ","2018-07-20 13:05:39","TRUE","4","0","0","Climate","Maharashtra","India",FALSE
"99","Stormy weather for 10 minutes.
I think you can't spot it though in the picture. Notice the coconut trees.
With kira  ","2018-07-20 11:33:44","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"100","Retweeted SkymetWeather (@SkymetWeather):

Maharashtra : Monsoon rains over Nagpur, Akola to increase again.  ","2018-07-20 09:18:59","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"101","RT @SkymetWeather: Maharashtra : Monsoon rains over Nagpur, Akola to increase again. MumbaiRains  to remain light.  ","2018-07-20 09:18:57","TRUE","4","0","0","Climate","Maharashtra","India",TRUE
"102","RT @SkymetWeather: Maharashtra : Monsoon rains over Nagpur, Akola to increase again. MumbaiRains  to remain light.  ","2018-07-20 09:07:23","TRUE","4","0","1","Climate","Maharashtra","India",TRUE
"103","RT @SkymetWeather: Maharashtra : Monsoon rains over Nagpur, Akola to increase again. MumbaiRains  to remain light.  ","2018-07-20 08:04:29","TRUE","4","0","-2","Climate","Maharashtra","India",TRUE
"104","Maharashtra : Monsoon rains over Nagpur, Akola to increase again. MumbaiRains  to remain light.  ","2018-07-20 08:00:14","FALSE","4","6","0","Climate","Maharashtra","India",FALSE
"105","@UPGovt @CMOfficeUP @myogiadityanath @GeM_India @Satishmahanaup @sureshpprabhu *Like how Maharashtra government had  ","2018-07-19 11:47:43","FALSE","0","0","0","Climate","Maharashtra","India",FALSE
"106","RT @SkymetWeather: Maharashtra : Now, rains would once again increase over Vidarbha and we expect light to moderate spells with one or t","2018-07-19 10:13:34","TRUE","3","0","0","Climate","Maharashtra","India",FALSE
"107","RT @SkymetWeather: Maharashtra : Now, rains would once again increase over Vidarbha and we expect light to moderate spells with one or t","2018-07-19 09:42:30","TRUE","3","0","-1","Climate","Maharashtra","India",TRUE
"108","RT @SkymetWeather: Maharashtra : Now, rains would once again increase over Vidarbha and we expect light to moderate spells with one or t","2018-07-19 09:38:42","TRUE","3","0","0","Climate","Maharashtra","India",TRUE
"109","Maharashtra : Now, rains would once again increase over Vidarbha and we expect light to moderate spells with one  ","2018-07-19 09:30:01","FALSE","3","3","0","Climate","Maharashtra","India",FALSE
"110","Maharashtra cities weather Raju Shettis milk blockade on Day 1

Raju Shetti's of throwing milk protest is criminal  ","2018-07-19 06:42:43","FALSE","0","1","-1","Climate","Maharashtra","India",FALSE
"111","RT @yawaraijazkhan: the weather today is calm and sunny awesome Pune Maharashtra","2018-07-28 09:58:15","TRUE","3","0","-1","Climate","Maharashtra","India",TRUE
"112","RT @yawaraijazkhan: the weather today is calm and sunny awesome Pune Maharashtra","2018-07-28 09:52:13","TRUE","3","0","0","Climate","Maharashtra","India",TRUE
"113","   ;   

      . ,   ","2018-07-28 09:40:43","FALSE","0","3","1","Climate","Maharashtra","India",TRUE
"114","RT @RanjitVDeshmukh: HIDE AND SEEK: It was a cloudy weather as the moon was visible for a very short period during the Eclipses over N","2018-07-27 20:45:23","TRUE","1","0","1","Climate","Maharashtra","India",TRUE
"115","HIDE AND SEEK: It was a cloudy weather as the moon was visible for a very short period during the Eclipses over  ","2018-07-27 18:49:44","FALSE","1","7","1","Climate","Maharashtra","India",TRUE
"116","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:21:19","FALSE","0","0","0","Climate","Maharashtra","India",TRUE
"117","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:16:35","FALSE","0","0","0","Climate","Maharashtra","India",TRUE
"118","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:13:09","FALSE","0","0","0","Climate","Maharashtra","India",TRUE
"119","Weather Thne India: 28C; Haze; Wind: 20 Km/h;   ","2018-07-27 14:11:59","FALSE","0","0","0","Climate","Maharashtra","India",TRUE
"120","@ORNL We hv been removing nails pierced in d trees,removed 30k nails in 
Pls let us know scientifically weather i  ","2018-07-27 10:13:42","FALSE","0","0","1","Climate","Maharashtra","India",TRUE
"121","      ,        
Delhi NorthIndia heavyrain  ","2018-07-26 05:54:22","FALSE","0","0","1","Climate","Maharashtra","India",TRUE
"122","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 11:16:29","TRUE","4","0","0","Climate","Maharashtra","India",TRUE
"123","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 10:52:15","TRUE","4","0","0","Climate","Maharashtra","India",TRUE
"124","RT @SkymetWeather: Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 09:33:36","TRUE","4","0","0","Climate","Maharashtra","India",TRUE
"125","Scanty rains to continue over Maharashtra, control attack of pink bollworm:  ","2018-07-25 09:30:18","FALSE","4","9","0","Climate","Maharashtra","India",TRUE
"126","RT @gsgolani: Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?Looking at the maladministration in MJP Decisio","2018-07-25 06:25:17","TRUE","1","0","-2","Climate","Maharashtra","India",TRUE
"127","@TawdeVinod Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?
Looking at the maladmini  ","2018-07-24 19:25:02","FALSE","0","0","0","Climate","Maharashtra","India",TRUE
"128","Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?Looking at the maladministration in M  ","2018-07-24 19:08:18","FALSE","1","1","1","Climate","Maharashtra","India",TRUE
"129","Weather GoM Act 21 of 2006 is applicable with Maharashtra Jeevan Pradhikaran ?
Looking at the maladministration in  ","2018-07-24 18:57:25","FALSE","1","2","0","Climate","Maharashtra","India",TRUE
"130","Reduced Intensity Rains To Continue Over Maharashtra, Apply Fertilizers In Crops.  ","2018-07-24 14:00:10","FALSE","0","3","0","Climate","Maharashtra","India",TRUE
"131","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 04:48:09","TRUE","54","0","-1","Climate","Maharashtra","India",TRUE
"132","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 03:57:55","TRUE","54","0","-2","Climate","Maharashtra","India",TRUE
"133","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:41:08","TRUE","7","0","1","Climate","Maharashtra","India",TRUE
"134","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:12:44","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"135","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 03:10:17","TRUE","54","0","1","Climate","Maharashtra","India",TRUE
"136","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-24 03:05:24","TRUE","7","0","1","Climate","Maharashtra","India",TRUE
"137","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 02:57:13","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"138","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-24 01:30:20","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"139","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 21:06:21","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"140","RT @SkymetWeather: Rains In Nagpur, Wardha, Akola, Buldhana To Continue, Drain Out Excess Water.   ","2018-07-23 18:14:14","TRUE","2","0","0","Climate","Maharashtra","India",TRUE
"141","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 17:35:21","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
"142","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-23 17:33:34","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"143","RT @Konkoit: Enjoying the weather.
The yellow-footed green pigeon, found in the Indian subcontinent, is the state bird of Maharashtra.","2018-07-23 16:20:56","TRUE","7","0","0","Climate","Maharashtra","India",TRUE
"144","RT @arungiri: Sangli corporation is imp... Someone said today that 70% of BJP candidates are turncoats from ncp Cong... Currently bjp in Ma","2018-07-23 16:17:50","TRUE","54","0","0","Climate","Maharashtra","India",TRUE
